location,area,bedrooms,bathrooms,parking,property_age,floors,price
Rushikonda,1499,3,2,2,12,3,8272000
Madhurawada,1077,2,2,1,6,3,5315000
Madhurawada,1291,2,1,1,7,1,5816000
Seethammadhara,1283,2,1,1,3,3,9559000
Pendurthi,1677,3,3,2,9,3,6778000
Gajuwaka,1587,3,3,1,9,1,7049000
Sujathanagar,2182,4,3,2,13,2,8717000
Sujathanagar,1062,2,2,1,16,2,4131000
Yendada,881,2,2,1,11,3,5192000
Sujathanagar,1241,2,2,1,22,2,4278000
MVP Colony,935,2,2,1,12,1,6436000
Seethammadhara,1906,3,3,1,11,2,11961000
MVP Colony,2000,3,3,1,21,2,12590000
Rushikonda,1427,3,3,1,15,3,8516000
Rushikonda,1814,3,3,1,9,2,11433000
Siripuram,2030,3,2,1,12,2,15337000
Muralinagar,1533,3,3,1,16,1,6940000
Rushikonda,2054,3,3,1,18,4,11903000
Siripuram,1230,2,2,1,21,2,8419000
Madhurawada,1704,3,2,1,24,2,5989000
Seethammadhara,920,2,2,1,23,1,5409000
Muralinagar,523,1,1,1,17,2,2392000
MVP Colony,646,1,1,0,13,1,4282000
Pendurthi,4140,5,5,2,15,2,13997000
Gajuwaka,962,2,2,0,19,1,3534000
Seethammadhara,1417,3,3,1,3,2,10307000
MVP Colony,1248,2,2,1,10,2,8801000
Muralinagar,956,2,1,1,12,2,4485000
Gajuwaka,2562,4,4,1,13,1,9762000
Gajuwaka,1373,3,3,2,3,1,5768000
Gajuwaka,2930,4,4,2,5,1,12340000
MVP Colony,933,2,2,2,23,1,5738000
Rushikonda,1069,2,2,1,13,1,6405000
MVP Colony,1054,2,2,0,3,1,7260000
Muralinagar,749,1,1,0,20,2,2877000
Yendada,2671,4,4,3,14,3,13544000
Rushikonda,1003,2,2,1,24,2,5129000
MVP Colony,1220,2,2,1,24,1,7352000
Rushikonda,616,1,1,0,9,1,3576000
Rushikonda,3572,5,5,3,8,3,23714000
Gajuwaka,1909,3,2,1,0,2,8706000
Yendada,1179,2,2,1,6,2,6419000
Sujathanagar,667,1,1,0,9,4,2947000
Madhurawada,1126,2,1,1,13,3,5305000
MVP Colony,731,1,1,1,21,1,4754000
Gajuwaka,1365,3,2,1,7,1,5805000
Gajuwaka,1076,2,1,1,24,2,3860000
Madhurawada,1117,2,2,1,8,2,4993000
Gajuwaka,1866,3,3,1,13,2,7658000
Madhurawada,2074,3,3,1,17,1,8038000
Madhurawada,1519,3,2,1,4,2,6963000
Madhurawada,1665,3,2,2,11,2,7754000
MVP Colony,978,2,2,2,20,2,6530000
MVP Colony,1045,2,2,1,4,4,7879000
MVP Colony,1114,2,2,1,18,3,6944000
Yendada,980,2,2,1,15,2,5361000
Rushikonda,1489,3,3,1,1,1,10257000
Madhurawada,1475,3,3,2,11,2,6722000
Sujathanagar,3930,5,4,3,1,1,16369000
Siripuram,1050,2,2,2,22,1,7717000
Madhurawada,1815,3,3,1,14,1,7722000
Gajuwaka,2550,4,4,1,14,1,9965000
Siripuram,2218,4,4,1,23,2,15220000
MVP Colony,996,2,2,0,19,1,5725000
Siripuram,1119,2,2,1,15,2,8997000
Seethammadhara,4741,5,5,2,22,2,27316000
Sujathanagar,1697,3,2,1,3,1,6440000
Muralinagar,2038,3,2,2,8,1,9539000
Yendada,2513,4,4,2,8,4,14441000
Muralinagar,1731,3,2,1,13,3,8700000
Muralinagar,1624,3,2,1,11,1,7644000
Seethammadhara,3088,4,3,2,7,1,20777000
Sujathanagar,896,2,1,1,19,2,3542000
Madhurawada,1968,3,3,2,3,2,10012000
Muralinagar,1791,3,3,1,22,4,7528000
Sujathanagar,2572,4,4,1,7,1,9579000
Rushikonda,1290,2,2,1,7,2,7597000
MVP Colony,2000,3,2,1,7,1,12383000
Siripuram,939,2,2,1,9,1,7626000
Madhurawada,890,2,2,1,6,2,4425000
Muralinagar,691,1,1,1,18,2,3326000
Muralinagar,2956,4,4,2,15,1,12648000
MVP Colony,1549,3,3,2,13,1,11179000
Madhurawada,1010,2,2,1,18,2,4423000
Madhurawada,1412,3,2,1,14,2,6464000
Siripuram,1565,3,3,1,8,2,12414000
MVP Colony,3107,4,4,2,5,3,22814000
Rushikonda,1160,2,2,0,20,3,6769000
Pendurthi,1258,2,2,1,20,2,4360000
Rushikonda,1286,2,2,1,11,3,7608000
Madhurawada,1455,3,3,2,22,1,5415000
Gajuwaka,1911,3,3,1,1,1,8835000
Rushikonda,1045,2,1,1,14,1,5893000
Pendurthi,1726,3,3,2,10,1,6131000
Pendurthi,1624,3,3,2,23,4,5940000
Siripuram,1174,2,1,2,2,4,10621000
Madhurawada,1004,2,1,2,9,2,4617000
Rushikonda,1784,3,3,1,4,2,11108000
Siripuram,1123,2,2,2,12,2,9221000
MVP Colony,1664,3,3,2,18,2,10983000
Yendada,1408,3,2,1,13,2,7510000
Madhurawada,1684,3,3,1,2,1,7762000
MVP Colony,1734,3,3,2,17,2,12244000
Siripuram,1190,2,1,1,4,2,10624000
Sujathanagar,913,2,2,1,21,2,3359000
Siripuram,1319,3,3,1,5,1,11300000
Seethammadhara,1153,2,1,1,5,2,7441000
Madhurawada,1065,2,2,1,24,2,4047000
Pendurthi,2030,3,3,2,14,2,7341000
Siripuram,2146,4,3,1,4,2,18081000
Yendada,1586,3,3,2,21,2,8118000
Gajuwaka,975,2,2,1,8,1,4326000
Siripuram,906,2,2,2,17,2,7046000
Gajuwaka,564,1,1,0,4,2,2541000
Rushikonda,1081,2,2,1,8,3,6994000
Yendada,1114,2,2,1,3,2,6775000
Yendada,598,1,1,0,13,3,3226000
Madhurawada,1273,2,1,1,15,2,5457000
MVP Colony,862,2,2,1,1,1,6733000
Muralinagar,902,2,2,1,20,1,3824000
Rushikonda,1124,2,2,0,16,2,6188000
Seethammadhara,1865,3,2,2,13,2,12424000
MVP Colony,902,2,2,1,3,1,6482000
Yendada,1589,3,2,1,10,1,8585000
Yendada,1290,2,1,1,17,1,6140000
MVP Colony,1689,3,2,2,10,3,12032000
Madhurawada,986,2,2,1,3,3,5005000
Siripuram,905,2,2,0,22,2,6574000
Yendada,1066,2,2,0,22,1,4766000
Seethammadhara,860,2,2,1,8,1,5816000
Yendada,1951,3,3,1,21,4,8457000
Rushikonda,995,2,2,1,8,1,6072000
Sujathanagar,1509,3,3,1,1,1,6371000
Seethammadhara,3123,4,4,2,1,2,23934000
Rushikonda,2273,4,4,3,11,2,13360000
MVP Colony,2234,4,3,1,21,3,14085000
Sujathanagar,1352,3,3,1,5,1,5583000
Muralinagar,866,2,2,1,10,3,3978000
Siripuram,589,1,1,1,19,2,4351000
Yendada,1132,2,2,0,14,3,5692000
Muralinagar,983,2,2,1,24,3,3902000
Madhurawada,865,2,2,1,12,4,4328000
Madhurawada,1756,3,3,2,22,3,6563000
Siripuram,1044,2,2,2,1,2,9228000
MVP Colony,1770,3,3,1,7,4,13184000
Sujathanagar,732,1,1,0,11,2,2806000
Sujathanagar,3048,4,4,2,10,4,12816000
Yendada,1170,2,2,2,23,2,5751000
Rushikonda,1458,3,3,1,16,4,8078000
Rushikonda,660,1,1,1,1,1,4300000
Gajuwaka,1576,3,3,1,21,3,5741000
Sujathanagar,852,2,1,1,11,3,3648000
Sujathanagar,2020,3,3,2,10,2,7940000
Gajuwaka,1551,3,3,2,24,1,5758000
Yendada,1123,2,2,0,21,1,4938000
MVP Colony,1544,3,3,2,7,1,11695000
Seethammadhara,1201,2,2,1,10,2,8006000
Sujathanagar,1385,3,3,2,3,2,5983000
Yendada,2170,4,3,3,7,3,12214000
MVP Colony,1226,2,2,1,12,1,8291000
MVP Colony,1097,2,2,2,0,1,8297000
Yendada,966,2,1,0,6,2,5471000
MVP Colony,1123,2,2,1,20,2,6738000
Seethammadhara,1214,2,2,0,10,3,8181000
Madhurawada,1042,2,1,1,12,1,4702000
Yendada,1960,3,3,2,18,1,9450000
Yendada,1176,2,2,1,13,3,6264000
Siripuram,1070,2,2,1,15,3,7319000
Gajuwaka,1173,2,2,1,0,2,5572000
Siripuram,873,2,2,1,1,3,8208000
Rushikonda,1547,3,2,2,20,3,8434000
Gajuwaka,3390,5,4,2,19,1,12533000
Yendada,546,1,1,0,11,1,2837000
Muralinagar,1642,3,3,2,4,2,8763000
Yendada,1505,3,2,1,14,3,8332000
Madhurawada,1870,3,3,2,1,3,8781000
MVP Colony,1950,3,3,1,16,2,13122000
Rushikonda,1401,3,3,2,18,2,7729000
Siripuram,3111,4,3,1,6,2,25885000
Siripuram,1937,3,3,1,8,1,16047000
Pendurthi,1111,2,2,0,16,2,3651000
Rushikonda,2064,4,3,2,3,3,14427000
Sujathanagar,1668,3,2,2,7,3,7478000
Yendada,1065,2,2,1,24,2,5096000
Gajuwaka,1492,3,3,1,7,1,6392000
Madhurawada,1228,2,2,1,3,2,6240000
Madhurawada,871,2,2,1,6,1,4062000
Madhurawada,1177,2,1,1,20,1,4567000
Seethammadhara,1250,2,2,1,13,2,7758000
Gajuwaka,868,2,2,0,14,2,3272000
Siripuram,4107,5,5,3,13,3,32839000
MVP Colony,3337,5,5,3,7,1,24930000
Yendada,1316,3,2,1,8,2,7041000
Seethammadhara,1053,2,1,1,1,2,8034000
Pendurthi,973,2,2,1,10,2,3583000
Pendurthi,1702,3,3,1,20,1,5134000
Sujathanagar,2072,4,4,2,8,2,9403000
Rushikonda,1284,2,2,1,21,2,6632000
MVP Colony,1133,2,2,1,6,1,8252000
Sujathanagar,1086,2,2,1,5,4,5005000
Madhurawada,1219,2,2,1,19,2,4977000
Pendurthi,942,2,2,1,18,2,3330000
Pendurthi,1676,3,3,2,12,1,5962000
Muralinagar,1346,3,2,1,13,1,5975000
Siripuram,1145,2,2,1,0,2,10450000
Rushikonda,1742,3,2,2,2,2,11598000
Muralinagar,1902,3,3,1,9,2,9221000
Rushikonda,1293,2,2,1,8,1,7600000
Seethammadhara,2069,3,3,1,5,2,15198000
Madhurawada,2091,4,4,2,10,2,9217000
Sujathanagar,1063,2,2,0,21,1,3449000
Yendada,2053,3,3,2,20,1,9510000
Madhurawada,701,1,1,1,17,3,3261000
MVP Colony,918,2,1,2,23,2,6005000
Yendada,910,2,2,1,24,3,4607000
Pendurthi,1921,3,3,1,6,1,6670000
Seethammadhara,1166,2,2,1,2,1,8621000
Madhurawada,2075,4,4,2,24,1,8029000
Muralinagar,1088,2,2,0,13,2,4338000
Gajuwaka,1896,3,3,2,17,1,7249000
Yendada,1713,3,2,1,9,3,9446000
Gajuwaka,1973,3,3,1,13,1,7477000
Rushikonda,976,2,1,1,23,2,4709000
Siripuram,868,2,2,1,9,1,7523000
Muralinagar,1798,3,3,1,15,4,8342000
Muralinagar,2294,4,3,2,6,1,11975000
Muralinagar,1750,3,2,1,20,3,7794000
Sujathanagar,1686,3,3,1,15,1,6338000
Madhurawada,1931,3,3,1,21,3,7091000
Madhurawada,2017,3,3,2,8,3,9373000
Gajuwaka,1030,2,2,1,17,3,4235000
Yendada,1591,3,3,1,16,1,8207000
Gajuwaka,894,2,2,1,9,1,3694000
Gajuwaka,908,2,2,1,19,1,3303000
Sujathanagar,945,2,1,1,16,2,3494000
Rushikonda,897,2,1,1,4,2,5833000
Rushikonda,1163,2,2,0,18,2,6112000
MVP Colony,1069,2,2,0,15,3,7223000
Madhurawada,1875,3,3,2,20,2,7645000
MVP Colony,1353,3,3,1,24,1,7631000
Madhurawada,943,2,2,1,10,1,4236000
Madhurawada,1195,2,2,2,16,1,5035000
Siripuram,1538,3,3,2,0,2,13911000
Yendada,1260,2,2,1,6,3,7620000
MVP Colony,1779,3,3,1,19,3,11033000
MVP Colony,1014,2,2,0,20,3,6496000
Muralinagar,1419,3,3,2,24,3,6121000
Rushikonda,2103,4,4,1,7,1,13163000
Seethammadhara,2067,3,3,2,11,1,13734000
Madhurawada,1664,3,3,1,15,2,7230000
Gajuwaka,1036,2,2,1,15,1,4123000
Seethammadhara,1032,2,2,1,2,4,7936000
Yendada,974,2,2,1,18,2,4788000
MVP Colony,1060,2,2,1,1,1,8416000
MVP Colony,1614,3,3,1,17,2,10671000
Madhurawada,2014,3,3,2,22,3,8439000
Madhurawada,924,2,1,1,8,2,4532000
Yendada,1492,3,2,2,21,2,7408000
Gajuwaka,1279,2,1,0,15,1,4613000
Pendurthi,869,2,2,1,23,4,2975000
Madhurawada,2804,4,4,2,21,2,10306000
Rushikonda,507,1,1,0,16,2,2971000
Gajuwaka,3167,4,4,2,15,3,12477000
Siripuram,1387,3,3,1,18,1,10377000
Madhurawada,2630,4,4,3,20,1,10396000
MVP Colony,3944,5,5,3,18,2,24782000
MVP Colony,1370,3,2,1,19,1,8902000
Pendurthi,3583,5,4,2,7,1,11282000
Muralinagar,1392,3,2,1,6,2,6471000
Yendada,4109,5,5,3,5,3,22174000
Madhurawada,1127,2,2,1,13,3,5171000
Seethammadhara,1537,3,3,1,22,1,8402000
Seethammadhara,1162,2,2,1,1,2,8557000
Siripuram,1698,3,2,1,22,3,12959000
Madhurawada,3392,5,5,2,20,2,13439000
Gajuwaka,1510,3,3,1,15,2,6479000
Yendada,1045,2,2,1,7,1,6169000
Siripuram,1906,3,3,2,7,2,17086000
Pendurthi,1785,3,2,2,20,1,5494000
Gajuwaka,1705,3,3,1,22,2,6145000
Madhurawada,1055,2,2,2,11,2,5079000
Yendada,1194,2,1,1,20,3,5995000
Madhurawada,1255,2,2,1,9,3,6178000
Siripuram,1234,2,2,0,7,3,10561000
Rushikonda,673,1,1,1,14,3,3806000
Gajuwaka,1571,3,3,2,16,2,5890000
MVP Colony,2497,4,3,3,12,2,16248000
MVP Colony,1479,3,3,1,22,2,9315000
MVP Colony,1162,2,2,1,0,3,8814000
MVP Colony,989,2,2,0,24,1,5834000
Muralinagar,2106,4,4,2,10,2,9676000
Gajuwaka,2024,3,3,2,5,2,9215000
Madhurawada,1041,2,2,0,16,1,4081000
MVP Colony,3086,4,3,2,16,2,19756000
Madhurawada,877,2,2,2,18,2,4085000
Madhurawada,1118,2,1,1,8,1,4853000
Seethammadhara,932,2,2,1,7,1,6290000
Madhurawada,3471,5,4,3,11,1,15212000
Rushikonda,1033,2,2,0,13,2,5983000
Yendada,1060,2,2,1,15,3,5839000
Yendada,954,2,2,1,1,3,6224000
MVP Colony,1025,2,2,1,24,2,6041000
Rushikonda,2148,4,4,3,21,1,11219000
Yendada,1549,3,2,2,24,1,7154000
Madhurawada,1238,2,2,0,11,2,5405000
Muralinagar,2025,3,3,2,7,2,10049000
Yendada,1049,2,2,1,4,1,5869000
Seethammadhara,1207,2,1,0,15,3,7221000
MVP Colony,1329,3,3,1,6,1,8852000
Yendada,2731,4,4,1,20,1,13116000
MVP Colony,880,2,1,1,22,1,5288000
Yendada,1031,2,2,1,21,2,5085000
Pendurthi,857,2,1,0,21,1,2426000
Madhurawada,2073,3,3,1,7,3,9212000
Rushikonda,2094,3,3,1,23,4,11262000
Yendada,504,1,1,0,5,1,2855000
Madhurawada,1445,3,3,2,13,1,6149000
Madhurawada,1790,3,2,2,2,2,8624000
Pendurthi,1421,3,3,2,16,3,5186000
Rushikonda,1427,3,3,1,14,1,8334000
Pendurthi,2019,3,3,1,12,1,7240000
Sujathanagar,985,2,2,1,8,1,4025000
Seethammadhara,1882,3,3,2,9,1,12191000
MVP Colony,1219,2,2,1,1,3,9322000
MVP Colony,1199,2,2,1,13,1,7950000
MVP Colony,1120,2,2,1,4,3,9013000
MVP Colony,1225,2,1,1,10,2,8059000
Yendada,1238,2,2,1,2,4,7942000
MVP Colony,1217,2,2,1,9,1,8946000
Rushikonda,1412,3,3,1,9,2,9032000
Muralinagar,896,2,2,2,24,1,3811000
MVP Colony,2017,3,3,2,22,3,11923000
Muralinagar,598,1,1,1,1,1,3171000
Siripuram,2902,4,3,1,1,3,24771000
MVP Colony,903,2,1,1,18,2,5826000
Yendada,607,1,1,0,14,1,2870000
Yendada,1632,3,3,1,14,1,8193000
Muralinagar,1311,3,3,1,16,1,5987000
Gajuwaka,1389,3,2,1,14,3,5070000
Muralinagar,1077,2,2,1,12,2,5025000
Siripuram,1326,3,3,1,24,1,8795000
Seethammadhara,1329,3,3,2,12,1,8110000
Gajuwaka,3533,5,4,2,8,1,13714000
Muralinagar,1740,3,2,1,17,2,7389000
Pendurthi,975,2,2,0,3,1,3560000
Madhurawada,2287,4,4,2,1,2,12051000
Rushikonda,1443,3,3,1,10,1,8778000
Gajuwaka,1058,2,2,2,0,2,5753000
Rushikonda,2010,3,2,2,11,1,11542000
Sujathanagar,2011,4,3,3,21,2,7391000
Muralinagar,1615,3,2,1,24,1,6542000
Madhurawada,1210,2,2,1,21,1,4706000
Gajuwaka,1767,3,3,1,15,1,7057000
Gajuwaka,925,2,1,1,24,1,3237000
MVP Colony,559,1,1,1,18,2,3652000
Sujathanagar,1377,3,3,2,4,2,5981000
Madhurawada,1579,3,3,1,4,2,7684000
Muralinagar,885,2,2,1,15,4,4419000
Rushikonda,1395,3,3,2,17,2,8378000
Sujathanagar,998,2,2,1,13,2,3881000
Rushikonda,936,2,2,1,14,1,5231000
MVP Colony,953,2,2,1,10,1,6656000
Sujathanagar,2084,3,3,1,22,3,7403000
MVP Colony,1906,3,3,1,24,2,11701000
Rushikonda,1907,3,2,2,23,2,9974000
Pendurthi,1286,2,2,1,19,2,4351000
Pendurthi,1284,2,2,1,4,2,5077000
Madhurawada,2071,3,3,2,12,3,9689000
Yendada,1740,3,2,1,20,3,8196000
Madhurawada,2051,3,2,1,12,2,8471000
Siripuram,1060,2,2,2,14,2,8799000
Rushikonda,1909,3,3,2,13,2,10691000
Yendada,1519,3,3,2,19,2,8119000
Gajuwaka,1258,2,2,1,11,2,4974000
Gajuwaka,2045,4,4,3,12,3,8604000
Gajuwaka,1374,3,3,2,10,2,6388000
MVP Colony,1728,3,2,1,14,1,11134000
Madhurawada,513,1,1,0,16,1,2082000
MVP Colony,942,2,2,1,24,2,6113000
Madhurawada,1093,2,2,1,24,4,4365000
Madhurawada,2021,3,2,1,24,2,7018000
Sujathanagar,850,2,1,1,3,2,3949000
Rushikonda,1067,2,1,0,17,3,5472000
MVP Colony,2055,3,2,1,13,1,13884000
Seethammadhara,1262,2,1,0,3,2,7846000
Gajuwaka,981,2,1,1,1,2,4556000
Yendada,1829,3,3,1,0,1,11200000
MVP Colony,1318,3,3,1,4,1,9013000
MVP Colony,2861,4,3,3,20,1,17958000
Gajuwaka,1107,2,2,1,21,1,3831000
MVP Colony,1059,2,2,1,0,3,8266000
Muralinagar,1045,2,2,1,21,1,4130000
Gajuwaka,3048,4,4,1,15,3,11771000
MVP Colony,676,1,1,0,12,3,4443000
MVP Colony,1496,3,3,1,9,2,11117000
Pendurthi,630,1,1,0,14,2,1964000
Rushikonda,1143,2,2,1,7,1,6954000
Rushikonda,694,1,1,0,22,2,3395000
Muralinagar,3008,5,5,3,24,3,12872000
Pendurthi,2112,4,4,1,10,2,7602000
Pendurthi,1218,2,1,0,16,3,4082000
Gajuwaka,1128,2,2,1,10,1,4855000
Rushikonda,2657,4,4,1,18,1,14046000
MVP Colony,2031,3,3,1,1,1,15846000
Gajuwaka,2605,4,4,1,19,1,9814000
Madhurawada,1669,3,3,2,12,1,7666000
Madhurawada,1052,2,2,1,13,4,4968000
Sujathanagar,2025,3,2,2,17,3,8232000
MVP Colony,1293,2,2,1,19,3,8376000
Madhurawada,1017,2,2,1,22,2,4051000
MVP Colony,527,1,1,1,12,1,3805000
Madhurawada,1651,3,3,1,22,1,6055000
MVP Colony,1914,3,3,1,17,1,11828000
MVP Colony,1281,2,2,1,8,2,9329000
MVP Colony,870,2,2,1,12,2,6221000
Yendada,527,1,1,0,24,1,2249000
Gajuwaka,1180,2,2,1,12,1,4623000
Yendada,691,1,1,0,23,2,3171000
Pendurthi,2152,4,3,3,10,2,8242000
Rushikonda,1324,3,3,2,0,1,8420000
Siripuram,1185,2,1,1,1,2,11075000
Muralinagar,604,1,1,0,6,2,3109000
Siripuram,2055,3,3,1,8,2,17504000
Pendurthi,1003,2,2,0,2,2,3696000
MVP Colony,1560,3,3,2,1,3,12027000
Pendurthi,1490,3,2,2,20,1,4724000
MVP Colony,3187,4,4,2,9,3,22223000
Sujathanagar,1871,3,2,2,6,1,7489000
Madhurawada,1028,2,2,0,17,1,4008000
Pendurthi,1674,3,3,1,17,1,5482000
MVP Colony,1174,2,1,1,18,2,7588000
Madhurawada,884,2,2,0,5,2,4173000
Pendurthi,548,1,1,0,14,1,1652000
Madhurawada,1472,3,3,2,1,1,8029000
Yendada,2913,4,4,2,24,1,12632000
Yendada,1231,2,2,1,5,1,7015000
Madhurawada,1025,2,2,1,7,3,5196000
Yendada,1920,3,3,2,23,2,8847000
Yendada,1686,3,2,1,0,2,9685000
Sujathanagar,1180,2,2,1,3,2,5343000
MVP Colony,1058,2,2,1,2,2,8411000
Siripuram,1122,2,2,0,17,2,8684000
Pendurthi,3102,4,4,2,3,1,11840000
Sujathanagar,2983,4,4,2,19,2,11378000
Madhurawada,4469,5,4,2,1,1,20357000
Yendada,1258,2,1,2,21,2,6153000
Siripuram,938,2,2,1,20,2,7109000
Seethammadhara,1185,2,2,1,20,2,7307000
Madhurawada,1892,3,3,1,19,1,7797000
Rushikonda,1275,2,1,0,3,2,7255000
Yendada,1011,2,1,0,13,3,5035000
MVP Colony,1431,3,3,1,10,2,10292000
Pendurthi,1405,3,2,1,5,1,5204000
Pendurthi,962,2,2,1,12,2,3380000
Yendada,1488,3,3,2,22,2,7312000
Madhurawada,570,1,1,0,9,2,2472000
Rushikonda,1042,2,2,1,17,1,5560000
Muralinagar,575,1,1,1,23,3,2812000
Yendada,1260,2,1,1,16,1,5817000
Seethammadhara,1034,2,2,1,21,4,6481000
Sujathanagar,1798,3,3,1,15,2,7048000
Muralinagar,2568,4,3,3,0,3,13928000
Pendurthi,1620,3,3,1,20,1,4891000
Gajuwaka,914,2,2,1,16,3,3477000
Yendada,2692,4,3,1,13,4,13794000
Madhurawada,1301,3,2,1,4,3,6749000
Sujathanagar,1639,3,3,1,5,3,6897000
Muralinagar,2460,4,4,3,0,1,12632000
MVP Colony,1041,2,1,1,1,3,8455000
MVP Colony,928,2,2,1,0,4,7420000
Rushikonda,2514,4,4,2,10,1,14219000
Muralinagar,1402,3,3,2,3,2,7113000
Pendurthi,946,2,1,1,9,2,3457000
Seethammadhara,1873,3,3,1,13,2,12165000
Yendada,976,2,1,1,14,1,4768000
Rushikonda,2014,3,2,1,10,1,11631000
Pendurthi,1193,2,1,1,16,1,3740000
Muralinagar,986,2,2,0,17,4,4765000
Muralinagar,1052,2,1,1,23,1,4265000
Madhurawada,894,2,2,1,16,1,3852000
Madhurawada,647,1,1,0,14,3,2684000
Siripuram,1837,3,3,1,16,2,13830000
MVP Colony,1749,3,3,1,11,3,11850000
Muralinagar,904,2,2,2,3,4,5579000
Muralinagar,1601,3,3,1,21,2,6742000
Pendurthi,1741,3,3,1,5,2,6312000
Pendurthi,1082,2,1,0,13,1,3328000
Madhurawada,1285,2,2,1,1,2,6693000
Gajuwaka,989,2,2,1,13,1,3829000
Pendurthi,1273,2,1,2,14,1,4306000
Muralinagar,1153,2,2,0,13,2,5335000
Siripuram,3783,5,4,3,13,1,30267000
Madhurawada,2277,4,3,3,21,2,9038000
Seethammadhara,2073,3,2,2,4,3,13144000
Pendurthi,1822,3,2,2,4,2,7523000
Yendada,866,2,2,1,24,2,4260000
Siripuram,1771,3,3,1,22,2,12635000
Yendada,1018,2,2,0,2,1,5789000
Yendada,2079,3,2,1,1,2,12042000
Rushikonda,1941,3,2,2,5,1,12127000
MVP Colony,1746,3,2,1,1,2,13129000
Yendada,1061,2,2,1,9,2,5380000
Madhurawada,1737,3,3,2,11,1,7073000
Gajuwaka,1545,3,3,1,9,3,6752000
Madhurawada,644,1,1,1,5,2,3482000
Muralinagar,1138,2,2,0,24,2,4586000
Madhurawada,1597,3,2,1,19,2,6407000
Madhurawada,1356,3,2,2,6,2,6628000
Muralinagar,1829,3,2,1,19,2,8255000
Madhurawada,937,2,2,1,20,1,4038000
Seethammadhara,1438,3,3,1,0,2,10004000
MVP Colony,2040,3,2,1,21,1,12698000
Gajuwaka,883,2,1,1,24,2,3107000
Yendada,1997,3,3,1,10,2,10310000
Gajuwaka,1784,3,3,1,4,2,7738000
Seethammadhara,687,1,1,1,14,3,4790000
Seethammadhara,1629,3,3,1,13,1,10526000
MVP Colony,1089,2,1,1,3,1,8227000
Rushikonda,1720,3,3,1,12,1,9834000
Yendada,1367,3,3,2,9,1,7480000
Rushikonda,1206,2,2,0,8,2,7158000
Madhurawada,1496,3,3,1,6,4,7566000
Sujathanagar,1889,3,2,1,20,1,6764000
Rushikonda,2376,4,3,2,18,1,13364000
Madhurawada,853,2,2,0,3,4,4589000
Gajuwaka,910,2,2,1,24,1,3222000
Rushikonda,2071,3,3,1,17,2,11332000
Yendada,1067,2,1,2,23,2,4800000
Muralinagar,3113,4,4,2,21,1,13142000
Pendurthi,898,2,2,1,14,2,3018000
Seethammadhara,4074,5,5,3,16,2,26255000
Sujathanagar,2959,4,3,2,2,2,12711000
Madhurawada,1091,2,2,0,22,1,4135000
Siripuram,1095,2,2,0,15,2,8437000
Madhurawada,886,2,2,1,17,1,3961000
Pendurthi,4323,5,4,2,3,2,15804000
Madhurawada,1354,3,3,1,12,1,5489000
Rushikonda,977,2,1,0,16,1,5117000
Yendada,1062,2,1,0,24,1,4703000
Siripuram,996,2,2,0,13,2,7699000
MVP Colony,1854,3,3,1,9,2,12916000
Seethammadhara,1391,3,3,2,22,1,8209000
